5,8,2,",",3,6,9,",",1,3,",",1,5,",",1,4,",",1,0,8
5,8,7,",",3,6,3,",",1,3,",",1,5,",",1,5,",",1,0,4
8,4,6,",",1,9,0,",",1,3,",",1,5,",",1,5,",",1,0,0
8,4,6,",",1,9,0,",",1,3,",",1,5,",",1,5,",",1,0,0
8,4,7,",",1,8,8,",",1,3,",",1,5,",",1,5,",",9,9
5,9,0,",",3,6,0,",",4,9,",",5,0,",",4,9,",",1,1,8
8,4,9,",",1,8,5,",",4,9,",",4,9,",",4,9,",",1,1,3
5,9,6,",",3,5,4,",",9,",",9,",",9,",",9,9
8,5,4,",",1,8,0,",",1,0,",",9,",",9,",",9,4
8,5,4,",",1,8,0,",",1,0,",",1,0,",",9,",",9,4
8,5,8,",",1,7,7,",",1,7,",",1,3,",",1,2,",",9,2
8,4,2,",",1,8,8,",",4,7,",",4,6,",",4,5,",",1,1,8
8,4,7,",",1,8,6,",",4,5,",",4,5,",",4,5,",",1,1,3
11
850,184,43,44,43,111
189,42,42,43,112
851,181,41,45,43,109
849,185,43,43,42,110
851,183,43,43,43,110
849,185,43,43,42,111
850,184,43,44,43,111
596,354,43,43,42,112
853,181,42,43,42,108
593,357,44,44,43,114
849,185,44,44,43,111
851,182,43,43,43,109
592,358,46,46,46,118
851,183,46,46,46,110
856,178,46,47,46,108
854,180,46,46,46,109
851,183,46,47,46,111
594,356,46,46,46,116
853,181,46,46,46,110
853,181,46,46,46,110
851,183,46,47,46,111
850,184,46,47,46,111
851,183,47,46,46,110
851,183,47,46,46,110
854,180,47,47,46,109
853,181,46,46,46,110
853,182,46,45,46,110
837,196,109,104,89,141
836,194,46,32,36,118
871,161,48,26,29,95
865,168,56,60,36,100
860,174,73,60,36,101
852,182,77,65,38,107
851,183,74,61,36,106
855,179,78,66,39,105
854,180,79,66,39,106
854,180,73,60,36,105
857,177,77,66,37,104
857,177,75,62,37,101
853,181,71,60,36,105
854,180,77,65,38,105
857,177,74,61,37,103
854,180,74,62,37,105
853,181,77,65,38,106
855,179,74,61,36,104
852,182,76,64,37,106
853,181,78,66,39,106
855,178,75,62,37,104
854,180,77,65,38,106
854,180,75,62,37,106
853,181,72,61,36,106
853,181,77,66,39,106
853,180,74,62,37,106
854,180,76,64,38,106
859,175,78,66,39,103
855,179,73,61,36,105
854,180,76,65,38,106
856,178,76,64,38,104
855,179,70,59,36,104
855,178,76,65,38,105
857,177,74,62,37,104
857,177,71,60,36,103
854,179,75,65,39,106
854,180,74,62,37,105
856,178,71,60,36,104
855,179,76,65,38,105
855,179,74,62,36,105
854,179,71,60,36,105
867,167,77,65,38,98
853,181,70,61,36,105
855,179,71,62,37,105
857,176,75,66,39,105
855,178,71,61,36,105
853,180,73,64,37,106
856,178,74,64,37,104
855,179,69,60,35,104
855,178,74,65,38,105
857,176,70,60,36,103
854,179,70,61,36,105
854,180,75,64,38,106
854,180,70,60,35,104
855,179,72,63,37,105
856,177,73,63,37,104
856,177,69,59,35,104
856,177,73,64,37,104
854,179,70,60,36,104
854,179,69,60,35,105
858,176,75,65,39,104
856,177,70,60,36,104
855,178,72,64,37,105
857,177,74,64,37,104
857,177,69,59,35,103
855,178,73,64,38,105
856,177,70,60,36,104
857,176,71,62,37,104
856,178,74,65,38,105
855,178,69,59,35,105
855,179,72,64,38,105
856,177,69,59,35,104
856,177,68,59,35,104
857,177,74,64,37,104
858,176,70,59,35,103
855,178,71,61,36,105
856,178,74,64,37,104
858,175,69,59,35,102
857,177,72,63,36,104
856,178,72,62,36,105
858,175,69,58,34,102
855,179,72,63,36,105
855,179,71,60,35,104
856,178,68,58,34,103
856,177,73,63,37,104
856,177,70,60,36,104
856,178,68,58,34,104
856,177,72,64,37,104
856,177,70,60,35,104
856,177,66,56,34,104
859,175,72,63,37,103
856,177,73,62,37,104
856,178,69,59,35,104
857,176,71,62,37,104
858,176,74,64,37,104
857,176,69,59,35,103
857,177,67,58,34,104
858,175,72,64,37,104
856,177,69,60,36,104
856,177,67,57,34,103
856,177,72,62,36,104
858,175,71,64,36,103
857,176,66,59,34,103
857,176,68,60,35,104
859,174,72,60,35,103
856,177,69,56,30,101
857,176,67,47,29,101
860,173,66,60,36,102
858,176,71,61,37,104
858,175,67,56,34,102
858,176,66,56,34,103
857,177,71,61,36,104
857,176,71,60,36,104
858,175,70,58,36,103
858,176,70,59,36,104
856,178,73,62,38,105
857,177,71,59,36,104
858,175,70,57,35,102
858,176,71,61,36,104
857,176,72,62,38,105
860,173,69,59,36,102
857,176,69,58,36,104
856,177,65,60,36,104
867,166,67,60,37,98
851,182,21,36,30,106
847,188,9,36,24,103
856,178,46,25,21,98
889,147,23,25,16,72
868,170,61,15,16,84
838,190,79,52,53,128
859,175,79,64,24,98
871,163,82,67,25,92
423,349,77,63,24,105
167,176,77,63,25,100
164,173,77,62,25,97
166,175,76,61,25,98
166,175,76,62,25,99
164,174,79,64,25,99
